Year,population
1950,18849528.0
1951,19568081.0
1952,20328752.0
1953,21132500.0
1954,21982503.0
1955,22880573.0
1956,23825810.0
1957,24815855.0
1958,25842524.0
1959,26907607.0
1960,27891897.0
1961,28792621.0
1962,29723536.0
1963,30674731.0
1964,31643032.0
1965,32625316.0
1966,33617170.0
1967,34621320.0
1968,35638342.0
1969,36660799.0
1970,37622204.0
1971,38518659.0
1972,39408560.0
1973,40294130.0
1974,41174341.0
1975,42120826.0
1976,43201488.0
1977,44367962.0
1978,45575281.0
1979,46807103.0
1980,48043740.0
1981,49311727.0
1982,50695707.0
1983,52194620.0
1984,53726181.0
1985,55213006.0
1986,56645077.0
1987,58157496.0
1988,59739052.0
1989,61265260.0
1990,62854666.0
1991,64382249.0
1992,65926125.0
1993,67530621.0
1994,69019291.0
1995,70546246.0
1996,72190242.0
1997,73908810.0
1998,75791024.0
1999,77753257.0
2000,79625397.0
2001,81401488.0
2002,83068889.0
2003,84731835.0
2004,86394504.0
2005,88015962.0
2006,89508986.0
2007,91075184.0
2008,92699095.0
2009,94384250.0
2010,96337125.0
2011,98248614.0
2012,100175512.0
2013,102076336.0
2014,103767130.0
2015,105312992.0
2016,106735719.0
2017,108119693.0
2018,109465287.0
2019,110804683.0
2020,112081264.0
2021,113100950.0
2022,113964339.0
2023,114891199.0
2024,115843669.0
2025,116786962.0
2026,117724471.0
2027,118656413.0
2028,119583981.0
2029,120502129.0
2030,121408895.0
2031,122301597.0
2032,123180331.0
2033,124049029.0
2034,124904114.0
2035,125740971.0
2036,126558226.0
2037,127352596.0
2038,128118527.0
2039,128850041.0
2040,129546659.0
2041,130209801.0
2042,130836996.0
2043,131427393.00000001
2044,131979663.0
2045,132492032.0
2046,132962000.0
2047,133385286.0
2048,133759430.0
2049,134089000.0
2050,134373439.0
2051,134612611.0
2052,134805056.0
2053,134952918.0
2054,135064723.0
2055,135139130.0
2056,135174396.0
2057,135179348.0
2058,135160429.0
2059,135111092.0
2060,135032258.0
2061,134929665.0
2062,134803103.0
2063,134655396.0
2064,134488179.0
2065,134297168.0
2066,134087428.00000001
2067,133857777.99999999
2068,133604837.0
2069,133330833.00000001
2070,133031693.0
2071,132708728.0
2072,132359787.00000001
2073,131983146.00000001
2074,131578396.00000001
2075,131147053.00000001
2076,130689897.0
2077,130199119.0
2078,129679233.0
2079,129138727.0
2080,128572068.0
2081,127980170.0
2082,127366036.0
2083,126729965.0
2084,126072691.0
2085,125392101.0
2086,124693115.0
2087,123981063.0
2088,123258336.0
2089,122526225.0
2090,121785757.0
2091,121036420.0
2092,120281079.0
2093,119523821.0
2094,118766197.0
2095,118006073.0
2096,117242732.0
2097,116482513.0
2098,115726784.0
2099,114972808.0
2100,114221909.0
