Year,Value
1961-01-01,116000.0
1962-01-01,140000.0
1963-01-01,151000.0
1964-01-01,155000.0
1965-01-01,176000.0
1966-01-01,188000.0
1967-01-01,208000.0
1968-01-01,225999.0
1969-01-01,238362.0
1970-01-01,233431.0
1971-01-01,234300.0
1972-01-01,282100.0
1973-01-01,293400.0
1974-01-01,338300.0
1975-01-01,424370.0
1976-01-01,419872.0
1977-01-01,421827.0
1978-01-01,464917.0
1979-01-01,604585.0
1980-01-01,1004800.0
1981-01-01,972486.0
1982-01-01,1009779.0
1983-01-01,966962.0
1984-01-01,1035584.0
1985-01-01,1029952.0
1986-01-01,1273176.0
1987-01-01,1303389.0
1988-01-01,1181165.0
1989-01-01,1178750.0
1990-01-01,1421663.0
1991-01-01,1345599.0
1992-01-01,1516685.0
1993-01-01,1571811.0
1994-01-01,1612327.0
1995-01-01,1646268.0
1996-01-01,1635744.0
1997-01-01,1616113.0
1998-01-01,1575145.0
1999-01-01,1565878.0
2000-01-01,1559563.08
2001-01-01,1617906.0
2002-01-01,1639161.0
2003-01-01,1697952.0
2004-01-01,1759813.0
2005-01-01,1788218.0
2006-01-01,1833907.84
2007-01-01,2016462.0
2008-01-01,2209336.0
2009-01-01,2198497.0
2010-01-01,2169233.0
2011-01-01,2246806.0
2012-01-01,2397745.0
2013-01-01,2458528.0
2014-01-01,2507098.0
2015-01-01,2582699.0
2016-01-01,2612474.02
2017-01-01,2671710.8
2018-01-01,2730984.64
2019-01-01,2747856.5
2020-01-01,2702553.81
2021-01-01,2860202.36
2022-01-01,2914424.68
2023-01-01,2944259.54
2024-01-01,2919939.73
