Year,forecast,lower_ci,upper_ci
2025,20441412.434981495,13526426.534752555,27356398.335210435
2026,21639104.401137296,13254739.906557277,30023468.895717315
2027,22460319.99506945,13467740.129276954,31452899.86086195
2028,23023398.875761896,13758662.969760725,32288134.78176307
2029,23409482.418530144,14019521.578024535,32799443.25903575
2030,23674206.43341981,14225946.308754746,33122466.55808487
2031,23855718.45425559,14380173.656875804,33331263.251635373
2032,23980174.91402038,14491829.70648485,33468520.121555906
2033,24065510.366217226,14571153.180766445,33559867.551668
2034,24124021.90844977,14626839.587082105,33621204.229817435
2035,24164141.231501263,14665631.000602277,33662651.46240025
2036,24191649.651561588,14692515.185884118,33690784.11723906
2037,24210511.215433042,14711083.288288064,33709939.14257802
2038,24223443.931703072,14723878.040701743,33723009.822704405
2039,24232311.444029246,14732680.691856023,33731942.19620247
2040,24238391.587845366,14738730.342211552,33738052.83347918
2041,24242560.53032494,14742884.948631747,33742236.11201813
2042,24245419.028729517,14745736.707136964,33745101.35032207
2043,24247379.00135303,14747693.511088468,33747064.49161759
2044,24248722.886197876,14749035.906224858,33748409.8661709
